#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,19.978102,80.036496,0.550237,0.186522,0.813910,0.827912,0.004947,-0.560836,-0.808433,-0.483268,-0.335987,107.353085
0.000000,19.978102,89.963504,0.613470,0.071919,0.786436,0.697869,0.416749,-0.582494,-0.749556,-0.582094,-0.315171,83.232182
0.000000,19.978102,100.014599,0.759381,0.007429,0.650603,0.464280,0.694354,-0.549834,-0.727545,-0.634130,-0.261834,60.739383
0.000000,19.978102,109.941606,0.905809,0.029857,0.422634,0.185465,0.868925,-0.458882,-0.758585,-0.639691,-0.123874,38.909613
0.000000,19.978102,119.992701,0.986642,0.134817,0.091440,-0.098741,0.941392,-0.322539,-0.891202,-0.311771,0.329482,20.758635
0.000000,19.978102,130.043796,0.912949,0.290193,-0.286901,-0.340008,0.929705,-0.141570,-0.412993,0.574649,0.706551,26.485404
0.000000,19.978102,139.970803,0.656969,0.387848,-0.646503,-0.497827,0.867158,0.014336,-0.194708,0.792100,0.578504,49.950284
0.000000,19.978102,150.021898,0.280209,0.351729,-0.893179,-0.598589,0.791421,0.123868,-0.194304,0.849214,0.491001,75.406043
0.000000,19.978102,159.948905,-0.120236,0.125058,-0.984837,-0.689108,0.703588,0.173475,-0.268875,0.868638,0.416143,101.977806
0.000000,19.978102,170.000000,-0.364724,-0.213736,-0.906253,-0.773275,0.611700,0.166940,-0.362129,0.867632,0.340702,124.799118
0.000000,30.029197,0.000000,-0.218260,-0.409356,-0.885884,-0.885777,-0.297896,0.355888,-0.600932,0.565117,0.565264,155.076017
0.000000,30.029197,10.051095,-0.002989,-0.670621,-0.741794,-0.807105,-0.436342,0.397729,-0.704198,0.527344,0.475409,171.747072
0.000000,30.029197,19.978102,0.347226,-0.764862,-0.542604,-0.696973,-0.597596,0.396368,0.820289,-0.446534,-0.357398,174.550009
0.000000,30.029197,30.029197,0.718985,-0.626024,-0.301917,-0.526066,-0.774065,0.352247,0.925952,-0.315716,-0.207209,166.042607
0.000000,30.029197,39.956204,0.934883,-0.337240,-0.110735,-0.295999,-0.912874,0.281152,0.983297,-0.163815,-0.079325,164.932820
0.000000,30.029197,50.007299,0.997874,0.014801,0.063465,0.004011,-0.985969,0.166881,0.999465,0.004738,0.032371,170.405988
0.000000,30.029197,60.058394,0.912326,0.325179,0.248837,0.332516,-0.943005,0.013192,-0.977831,-0.168188,-0.124737,178.314704
0.000000,30.029197,69.985401,0.750936,0.510124,0.419367,0.624280,-0.755450,-0.198921,-0.933785,-0.312278,-0.174721,160.932501
0.000000,30.029197,80.036496,0.598972,0.545008,0.586685,0.798811,-0.457874,-0.390194,-0.880478,-0.427696,-0.204537,141.652021
0.000000,30.029197,89.963504,0.541148,0.476285,0.693045,0.806265,-0.059685,-0.588535,-0.829040,-0.527125,-0.186633,117.867187
0.000000,30.029197,100.014599,0.599338,0.391189,0.698401,0.647576,0.275940,-0.710283,-0.798653,-0.587819,-0.128924,96.103933
0.000000,30.029197,109.941606,0.718419,0.351002,0.600560,0.367485,0.541532,-0.756107,-0.787072,-0.616802,-0.008535,74.929661
0.000000,30.029197,119.992701,0.836800,0.388265,0.386027,0.010241,0.693838,-0.720058,-0.796481,-0.560449,0.226970,56.383445
0.000000,30.029197,130.043796,0.863607,0.500377,0.061688,-0.377297,0.722591,-0.579232,-0.738983,-0.277138,0.614083,45.612174
0.000000,30.029197,139.970803,0.726117,0.613214,-0.311003,-0.686970,0.628115,-0.365438,-0.535871,0.179117,0.825082,51.990809
0.000000,30.029197,150.021898,0.431175,0.637192,-0.638807,-0.873886,0.471105,-0.119931,-0.386761,0.457473,0.800708,70.663188
0.000000,30.029197,159.948905,0.038220,0.492145,-0.869674,-0.948538,0.291649,0.123357,-0.350043,0.594763,0.723690,95.513652
0.000000,30.029197,170.000000,-0.262268,0.192642,-0.945571,-0.942012,0.161474,0.294178,-0.384185,0.658596,0.647035,118.740036
0.000000,39.956204,0.000000,-0.453898,-0.041857,-0.890070,-0.645902,-0.672665,0.361016,-0.494359,0.361517,0.790516,157.538823
0.000000,39.956204,10.051095,-0.321607,-0.406571,-0.855142,-0.483890,-0.705714,0.517511,-0.581993,0.382783,0.717468,176.911242
0.000000,39.956204,19.978102,-0.017943,-0.653627,-0.756604,-0.335040,-0.709045,0.620487,0.694544,-0.361908,-0.621797,165.156287
0.000000,39.956204,30.029197,0.410374,-0.679505,-0.608166,-0.216119,-0.720379,0.659050,0.828095,-0.288222,-0.480819,151.192294
0.000000,39.956204,39.956204,0.741966,-0.484302,-0.463613,-0.096378,-0.761375,0.641108,0.926214,-0.172663,-0.335135,144.636825
0.000000,39.956204,50.007299,0.932736,-0.148309,-0.328647,0.070776,-0.818444,0.570210,0.981340,-0.021714,-0.191053,145.014974
0.000000,39.956204,60.058394,0.956475,0.238059,-0.168770,0.289232,-0.850151,0.439986,0.988405,0.141293,-0.055604,152.603034
0.000000,39.956204,69.985401,0.834565,0.550865,-0.007024,0.536224,-0.809326,0.239697,0.957153,0.287854,0.031598,166.604001
0.000000,39.956204,80.036496,0.641630,0.741037,0.197927,0.755841,-0.654754,0.001146,-0.905823,-0.413815,-0.090778,175.322961
0.000000,39.956204,89.963504,0.474120,0.789654,0.389432,0.876363,-0.380624,-0.295148,-0.849519,-0.518956,-0.094880,152.809817
0.000000,39.956204,100.014599,0.411886,0.745304,0.524283,0.838579,-0.084890,-0.538125,-0.804421,-0.590757,-0.062557,131.796194
0.000000,39.956204,109.941606,0.443788,0.682736,0.580452,0.645662,0.205566,-0.735434,-0.766829,-0.641546,0.019789,110.494494
0.000000,39.956204,119.992701,0.541922,0.661115,0.518891,0.317537,0.410581,-0.854748,-0.741474,-0.648611,0.171815,91.000528
0.000000,39.956204,130.043796,0.620070,0.713073,0.327168,-0.127027,0.502764,-0.855039,-0.696264,-0.570708,0.435326,74.776683
0.000000,39.956204,139.970803,0.588534,0.807926,0.029722,-0.549253,0.426539,-0.718599,-0.601777,-0.333180,0.725848,69.210791
0.000000,39.956204,150.021898,0.398305,0.867451,-0.298130,-0.851439,0.228756,-0.471935,-0.469276,-0.022110,0.882775,76.798360
0.000000,39.956204,159.948905,0.066235,0.801656,-0.594105,-0.987558,-0.032440,-0.153873,-0.376862,0.226625,0.898118,95.067875
0.000000,39.956204,170.000000,-0.244513,0.575010,-0.780754,-0.962285,-0.242927,0.122453,-0.366288,0.367791,0.854730,115.935506
0.000000,50.007299,0.000000,-0.698137,0.273247,-0.661771,-0.412492,-0.908994,0.059833,-0.346547,0.104100,0.932238,158.420503
