#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,60.058394,159.948905,-0.243009,0.944652,0.220406,-0.557821,0.049800,-0.828466,-0.267983,-0.538945,0.798576,109.827028
0.000000,80.036496,0.000000,-0.814479,0.197087,0.545692,-0.577223,-0.180225,-0.796450,0.167840,-0.606527,0.777145,150.120575
0.000000,80.036496,19.978102,-0.957084,-0.129192,0.259420,-0.042419,-0.823051,-0.566381,-0.144708,0.296636,-0.943963,177.365634
0.000000,80.036496,39.956204,-0.677405,-0.732355,-0.069127,0.716500,-0.635607,-0.287458,-0.029419,0.160507,-0.986596,132.754498
0.000000,80.036496,60.058394,0.027606,-0.897608,-0.439930,0.997617,0.052577,-0.044673,0.196501,0.251596,-0.947675,90.655955
0.000000,80.036496,80.036496,0.480185,-0.356545,-0.801435,0.786540,0.579473,0.213463,0.497539,0.625515,-0.600988,71.990493
0.000000,80.036496,100.014599,0.192586,0.365108,-0.910828,0.587960,0.700201,0.404996,0.511503,0.851962,-0.111916,95.365935
0.000000,80.036496,119.992701,-0.485825,0.650976,-0.583270,0.603077,0.732678,0.315405,0.389059,0.920499,0.036261,138.663576
0.000000,80.036496,139.970803,-0.878004,0.471304,0.083553,0.456589,0.877060,-0.149304,-0.240306,-0.968668,0.062736,173.265127
0.000000,80.036496,159.948905,-0.724273,0.350733,0.593646,-0.164149,0.748504,-0.642493,-0.058327,-0.924467,0.376774,136.899704
0.000000,100.014599,0.000000,-0.402224,-0.507477,0.762026,-0.853667,0.508668,-0.111844,0.453704,-0.849549,0.269109,139.967973
0.000000,100.014599,19.978102,-0.383103,-0.304641,0.872024,-0.855246,-0.239682,-0.459465,0.520019,-0.588281,0.619279,153.605252
0.000000,100.014599,39.956204,-0.486397,-0.486797,0.725567,-0.225110,-0.732564,-0.642398,-0.501603,0.357297,-0.787867,170.440445
0.000000,100.014599,60.058394,-0.194144,-0.903638,0.381768,0.485789,-0.426666,-0.762866,-0.478890,0.281554,-0.831500,123.332645
0.000000,100.014599,80.036496,0.377167,-0.911333,-0.164976,0.552723,0.364424,-0.749461,-0.479334,0.462603,-0.745813,78.966831
0.000000,100.014599,100.014599,0.534788,-0.376945,-0.756250,0.027818,0.902354,-0.430097,-0.360951,0.904130,-0.228613,62.283435
0.000000,100.014599,119.992701,-0.014872,0.099878,-0.994889,-0.384111,0.918081,0.097909,-0.142940,0.959651,0.242152,92.065409
0.000000,100.014599,139.970803,-0.785381,0.037955,-0.617848,-0.344415,0.802561,0.487108,-0.090218,0.943564,0.318664,143.133178
0.000000,100.014599,159.948905,-0.918788,-0.350144,0.182283,-0.268971,0.893279,0.360150,0.161555,-0.972539,-0.167533,165.979963
0.000000,119.992701,0.000000,-0.149023,-0.953964,0.260277,-0.402327,0.298939,0.865314,0.546848,-0.756519,-0.358661,129.733603
0.000000,119.992701,19.978102,0.193087,-0.670144,0.716676,-0.818149,0.293231,0.494618,0.680451,-0.727776,0.085604,120.176799
0.000000,119.992701,39.956204,0.191393,-0.375790,0.906725,-0.947235,-0.312730,0.070334,0.736744,-0.507689,0.446610,140.226185
0.000000,119.992701,60.058394,0.168342,-0.502920,0.847781,-0.466401,-0.798330,-0.380972,-0.764239,0.317171,-0.561553,178.136651
0.000000,119.992701,80.036496,0.482269,-0.712339,0.509892,0.027432,-0.569488,-0.821542,-0.830781,0.246659,-0.498961,132.156816
0.000000,119.992701,100.014599,0.843917,-0.518690,-0.136987,-0.156967,0.005437,-0.987589,-0.927284,0.327115,-0.182043,96.530833
0.000000,119.992701,119.992701,0.630736,-0.057875,-0.773836,-0.750938,0.205854,-0.627468,-0.802765,0.485084,0.346789,92.207348
0.000000,119.992701,139.970803,-0.191651,0.053833,-0.979986,-0.981151,-0.035704,0.189918,-0.497617,0.588288,0.637412,125.721609
0.000000,119.992701,159.948905,-0.760939,-0.427370,-0.488188,-0.514284,-0.061457,0.855415,-0.344269,0.684590,0.642507,176.121759
0.000000,139.970803,0.000000,-0.333454,-0.897171,-0.289641,0.506114,-0.429555,0.747884,0.396940,-0.311204,-0.863476,125.651263
0.000000,139.970803,19.978102,0.258240,-0.935661,0.240521,0.289399,0.312455,0.904776,0.534815,-0.581559,-0.612994,92.230426
0.000000,139.970803,39.956204,0.619033,-0.530367,0.579231,-0.403395,0.418084,0.813928,0.776370,-0.627066,-0.063539,87.650850
0.000000,139.970803,60.058394,0.653372,-0.257454,0.711915,-0.756890,-0.240672,0.607613,0.874158,-0.394762,0.282863,118.015264
0.000000,139.970803,80.036496,0.747999,-0.212054,0.628912,-0.425901,-0.880110,0.209796,0.932806,-0.176231,0.314348,160.114332
0.000000,139.970803,100.014599,0.966718,-0.085989,0.240962,-0.000589,-0.942573,-0.334001,-0.991401,0.022466,-0.128918,160.657168
0.000000,139.970803,119.992701,0.895353,0.258064,-0.362969,-0.065381,-0.730011,-0.680301,-0.969386,-0.057259,0.238773,137.366544
0.000000,139.970803,139.970803,0.227177,0.442514,-0.867509,-0.405169,-0.767095,-0.497396,-0.750164,-0.014083,0.661102,140.125089
0.000000,139.970803,159.948905,-0.579953,0.001917,-0.814647,-0.239254,-0.956299,0.168076,-0.454191,0.131254,0.881182,172.134660
0.000000,159.948905,0.000000,-0.661580,-0.691659,-0.289688,0.729326,-0.503681,-0.463021,0.036489,0.310216,-0.949965,131.589959
0.000000,159.948905,19.978102,-0.087345,-0.993982,0.066118,0.995906,-0.088680,-0.017532,-0.041088,-0.021500,-0.998924,95.116634
0.000000,159.948905,39.956204,0.497452,-0.801644,0.331523,0.728961,0.593458,0.341210,0.153983,-0.458496,-0.875255,60.971332
0.000000,159.948905,60.058394,0.807970,-0.425274,0.407832,0.032220,0.723004,0.690092,0.747755,-0.603386,-0.277106,55.637880
0.000000,159.948905,80.036496,0.942406,-0.099502,0.319327,-0.309196,0.104902,0.945195,0.968958,-0.223810,0.105022,86.692095
0.000000,159.948905,100.014599,0.969168,0.244654,0.029280,0.113922,-0.550284,0.827169,0.990140,0.115249,0.079632,124.830667
0.000000,159.948905,119.992701,0.716160,0.602684,-0.351974,0.695358,-0.659443,0.285679,0.923017,0.366738,-0.116377,156.536710
0.000000,159.948905,139.970803,0.048445,0.745327,-0.664936,0.778479,-0.445269,-0.442386,0.723919,0.526418,-0.445900,177.869586
0.000000,159.948905,159.948905,-0.686111,0.358626,-0.632961,0.431207,-0.500269,-0.750861,0.395572,0.499449,-0.770762,177.301305
19.978102,0.000000,0.000000,-0.790050,-0.451034,-0.415198,-0.008799,0.685548,-0.727974,-0.138471,0.909781,-0.391311,145.592945
19.978102,0.000000,19.978102,-0.270779,-0.950473,-0.152576,-0.022061,0.164583,-0.986116,-0.445740,0.687903,-0.572805,125.864128
19.978102,0.000000,39.956204,0.472607,-0.879159,0.061014,0.331635,0.113277,-0.936582,-0.700143,0.377964,-0.605758,91.977662
19.978102,0.000000,60.058394,0.907953,-0.393880,0.143105,0.374559,0.609579,-0.698655,-0.874314,0.028278,-0.484535,52.463509
19.978102,0.000000,80.036496,0.982247,0.130219,0.135032,-0.101073,0.973773,-0.203840,-0.722731,-0.542525,0.428166,15.669943
19.978102,0.000000,100.014599,0.856855,0.513516,0.045832,-0.466865,0.735143,0.491530,0.684256,0.126642,0.718161,43.044298
19.978102,0.000000,119.992701,0.601825,0.782401,-0.160171,-0.137009,0.298733,0.944451,0.748749,0.475575,0.461740,84.619486
19.978102,0.000000,139.970803,0.088269,0.893593,-0.440114,0.587648,0.310042,0.747358,0.641623,0.744839,0.183124,123.347770
19.978102,0.000000,159.948905,-0.597822,0.589729,-0.542981,0.718694,0.694332,-0.037171,0.382231,0.914684,-0.131351,150.599057
19.978102,19.978102,0.000000,-0.759173,-0.636733,-0.135012,-0.650735,0.747008,0.136100,-0.344975,0.934506,0.087694,175.421083
19.978102,19.978102,19.978102,-0.246692,-0.954573,0.167136,-0.908429,0.167722,-0.382917,-0.612128,0.763254,-0.206740,173.592620
19.978102,19.978102,39.956204,0.328265,-0.879874,0.343603,-0.540913,-0.473314,-0.695261,-0.802647,0.468740,-0.368838,152.645196
19.978102,19.978102,60.058394,0.734745,-0.585708,0.342193,0.106452,-0.398646,-0.910906,-0.903723,0.183217,-0.386933,116.565931
19.978102,19.978102,80.036496,0.964487,-0.207947,0.162858,0.216661,0.270210,-0.938107,-0.975367,-0.006121,-0.220505,74.324891
